Username,Handle,Timestamp,Comments,Likes,Retweets,Text
Marta,@marta_uliano,2021-11-15T14:08:34.000Z,"MartaEm resposta a 
@Madalen06663108
 e 
@Eliete_Ora",,,
sandra m,@marsansand17,2021-11-15T14:05:15.000Z,"sandra mEm resposta a 
@Manoel76860601",,,1
marcos roberto lourenço,@marcosr90109601,2021-11-15T13:54:58.000Z,"marcos roberto lourençoEm resposta a 
@Rconstantino",,,
Renato Remy Style Barcelona,@RenatoStyles,2021-11-15T13:51:54.000Z,"Renato Remy Style BarcelonaEm resposta a 
@desmentindobozo
 e 
@mfriasoficial",,,
E o Que Isso?,@EoQueIsso1,2021-11-15T13:49:02.000Z,"E o Que Isso?Em resposta a 
@redpilado_right
 e 
@DaniloGentili",,,
cdshikida,@cdshikida,2021-11-15T13:22:47.000Z,"cdshikidaEm resposta a 
@neotosetto
 e 
@polzonoff",,,
artur r Leandro,@RodovalArtur,2021-11-15T13:20:48.000Z,"artur r LeandroEm resposta a 
@camilabomfim",,,
Manoel Carvalho,@nelcarvalho,2021-11-15T13:15:22.000Z,"Manoel CarvalhoEm resposta a 
@Ed61897233
 @Waldetemilanez1
 e mais 2",,,
Afonso Tang Mamolli,@AMamolli,2021-11-15T13:03:40.000Z,"Afonso Tang MamolliEm resposta a 
@RaquelStasiaki",,1,1
Dalva Hellmeister,@DalvaHellmeist1,2021-11-15T12:55:45.000Z,"Dalva HellmeisterEm resposta a 
@LuluSantos",,,
Sergio Nogueira,@sergiosnogueira,2021-11-15T12:53:50.000Z,Sergio NogueiraMPF vai à justiça para que projetos da Lei Rouanet possam exigir passaporte da vacina,1,1,3
caipiracarioca,@caipiracarioca,2021-11-15T12:51:43.000Z,"caipiracariocaEm resposta a 
@nikolas_dm",,,
DIREITA BRASIL,@Direita_2021,2021-11-15T12:47:04.000Z,"DIREITA BRASILEm resposta a 
@LuluSantos",,,
🄶🄻🄰🅄🄲🄸🄾,@gauoficial,2021-11-15T11:11:38.000Z,"🄶🄻🄰🅄🄲🄸🄾Em resposta a 
@DaniloGentili",,,
Zobrudom,@zobrudom,2021-11-15T11:07:32.000Z,"ZobrudomEm resposta a 
@tesoureiros",,,
Sandriza Zanazi,@Zasandri,2021-11-15T10:58:33.000Z,"Sandriza ZanaziOs que prestaram contas , que usaram pra cultura CONTINUAM LEGIVEL A LEI ROUANET..ABORA CASAMENTOS, JATINHOS PARTICULARES NEM ROUANET , NEM BNDES..CHEGOU E AÍ O CHORO É  LIVRE.",,,
Ramon 7 conta retornando,@Vilar76656849,2021-11-15T10:52:03.000Z,"Ramon 7 conta retornandoEm resposta a 
@zeliaduncan",,,
Ana_reloaded,@reloaded_ana,2021-11-15T10:30:08.000Z,"Ana_reloadedEm resposta a 
@TonyStarkMeta
 e 
@taoquei1",,,2
Solange Pivot dos Santos,@DosPivot,2021-11-15T10:17:56.000Z,"Solange Pivot dos SantosEm resposta a 
@revistaoeste",,,
Iranice Alexandrino,@IraniceAlexand3,2021-11-15T09:46:00.000Z,"Iranice AlexandrinoA adesão dos vermelhos à essa frase chega a ser cômico. 
Esse povo devia ir trabalhar pra ganhar o próprio sustento, mas a lei Rouanet está fazendo falta e eles estão enlouquecidos. 
À medida em que o tempo passa mais frases sem efeito nenhum eles inventam. 
QUE PATÉTICO ",12,17,50
Paulo Victor A Silva,@PauloVictorA,2021-11-15T09:43:54.000Z,"Paulo Victor A SilvaEm resposta a 
@LuluSantos
 e 
@gilbertogil",,,
Edmilson Castilla,@EdmilsonCastil1,2021-11-15T09:29:00.000Z,"Edmilson CastillaEm resposta a 
@zeliaduncan",,,
Ubirata,@Ubirata13,2021-11-15T08:38:50.000Z,"UbirataEm resposta a 
@mfriasoficial",,,
Idelvan Mesquita,@idelvanmesquita,2021-11-15T07:40:44.000Z,"Idelvan MesquitaEm resposta a 
@jdoriajr
 @LucianoHuck
 e 
@rodrigogarcia_",1,,1
Gilmar,@Gilmar79796160,2021-11-15T07:27:12.000Z,"GilmarEm resposta a 
@RogerioCorreia_
 e 
@foraBolsonaro",,,
Eurico Cavalcante,@EuricoCavalcan3,2021-11-15T06:50:46.000Z,"Eurico CavalcanteEm resposta a 
@andreporci",,,
EDLEANDRO.JB22,@EDGARDLEANDROO,2021-11-15T06:44:46.000Z,"EDLEANDRO.JB22Em resposta a 
@FERAbranches
 @RaquelBlak
 e mais 2",,,
Amanda Carneiro Lobo,@AmandaWCLobo,2021-11-15T05:51:26.000Z,"Amanda Carneiro LoboEm resposta a 
@mfriasoficial",,,
Fabiano Duncan (Honrado Principe dos Ares Secos),@fabianoduncan,2021-11-15T05:25:14.000Z,"Fabiano Duncan (Honrado Principe dos Ares Secos)Em resposta a 
@TortatoMar
 @PauloSpadin
 e 
@zeliaduncan",,,
umberto vichier,@UVichier,2021-11-15T04:53:38.000Z,"umberto vichierEstão querendo essa  de passaporte  da vacina, até o MP quer que tenha na lei Rouanet por um simples motivo: fiz merda de tomar a pikda e não vou ficar sozinho.",,1,1
Vetor,@FeBraPa,2021-11-15T04:47:28.000Z,"VetorEm resposta a 
@Paran33420839
 e 
@facchini_r",,,1
|Tronco de Árvore NataLINO|,@3_14jama_,2021-11-15T04:12:22.000Z,"|Tronco de Árvore NataLINO|em hoodie season (3racha)
parece q o bin fala ""lei rouanet""",,,
VeraTFMoretti,@MorettiTf,2021-11-15T04:07:35.000Z,"VeraTFMorettiEm resposta a 
@zeliaduncan
 e 
@Haruophoto",,,
Fran SDV #Bolsonaro2022,@Franfranco38,2021-11-15T03:25:41.000Z,"Fran SDV #Bolsonaro2022Em resposta a 
@zeca_dirceu",,,
Aldo Santos,@AldoSan58824897,2021-11-15T03:25:12.000Z,"Aldo SantosEntendeu, porque o dinheiro da lei Rouanet financiava a vida desses irresponsáveis e não tinha retorno algum!",1,14,39
L OLIVEIRA,@LOLIVEIRA8691,2021-11-15T03:18:28.000Z,"L OLIVEIRAO PT ROUBAVA

NA GESTÃO
NA PROPAGANDA
NO ESCRITÓRIO
NA CULTURA.

OS Q SE DIZEM ARTISTAS FICAVAM COM PONTAS.

JÁ REPARARAM NENHUM ARTISTA DE ESQUERDA CONSEGUE SER BOM SEM O ROUBO NA LEI ROUANET.

ENGRAÇADO NÉ, ANTES ERAM MUITOS COMPETENTES",,1,1
Marilucia Davi,@MariluciaDavi,2021-11-15T03:06:14.000Z,Marilucia DaviACADEMIA DE LETRAS ESTÁ VIRANDO ABRIGO DE VELHOS E MAMADORES DA LEI ROUANET,,,1
Rosemeire Moura,@RosemeireMour13,2021-11-15T03:01:19.000Z,"Rosemeire MouraEm resposta a 
@zeca_dirceu",,,
MULTIPLUS BRASIL,@mfoxhills,2021-11-15T02:44:47.000Z,"MULTIPLUS BRASILEla está falando do Brasil sustentado obviamente com verbas públicas, sobre tudo com recursos da Lei Rouanet. Esse Brasil, graças a Deus e a Bolsonaro, acabou. Foi destruído.",,,
Marcia conservadora.,@Marcia75258626,2021-11-15T02:42:25.000Z,"Marcia conservadora.Em resposta a 
@zeca_dirceu",,2,3
Nubinha Britto,@nubiabbritto,2021-11-15T02:31:21.000Z,"Nubinha BrittoEm resposta a 
@sergiodireita1",1,,3
Leonard Kusdra,@leonard_kusdra,2021-11-15T02:24:42.000Z,"Leonard KusdraEm resposta a 
@zeliaduncan",,,
SB Volcck,@volcck,2021-11-15T01:52:16.000Z,"SB Volccklei rouanet dos rato
se tem 2 tem 3, se tem 3 tem 4
@soapvolc
 @_gabielecto
 @LuizinhMayumi",,1,1
